variable,component,count,min,p05,median,p95,max
yield_maize,seasonal,1470,3.9521432,6.0839731200000005,9.7531485,14.40039725,17.504501
temperature,seasonal,1470,5.7214227,9.0481722,18.500927,22.133268700000002,24.489744
precipitation,seasonal,1470,157.94690018892288,256.49700427949426,488.7821155786514,952.1975347995757,1390.9155254364014
soil_water,seasonal,1470,0.18198475,0.2437201085,0.329785095,0.392753018,0.43708628
solar_radiation,seasonal,1470,1986067146.0,2265654657.9,2508922862.5,2735436484.5,2895820694.0
potential_evaporation,seasonal,1470,660.1966361999512,781.9097420573235,1003.1045558452606,1408.0597590208051,1893.9089794158936
temperature_monthly,temperature_May,1470,-0.35148072,4.40625103,14.5358145,18.776424549999998,20.71815
temperature_monthly,temperature_Jun,1470,4.6949253,9.3102456,18.4061765,22.84605165,26.718409
temperature_monthly,temperature_Jul,1470,8.485179,12.10853105,21.3003425,25.839722199999997,28.500244
temperature_monthly,temperature_Aug,1470,7.573741,11.91653795,20.9176175,25.78225085,28.674433
temperature_monthly,temperature_Sep,1470,3.5392773,8.229857,16.7948265,20.91406435,23.325226
precipitation_monthly,precipitation_May,1470,11.733785927295685,34.062793457508086,108.77643358707428,253.55095257759092,500.7800102233887
precipitation_monthly,precipitation_Jun,1470,9.626344442367554,34.41591882705689,99.0967047214508,227.19163155555725,488.36048126220703
precipitation_monthly,precipitation_Jul,1470,2.542320653796196,20.350019487738606,74.7017912864685,211.3384968996048,340.3796901702881
precipitation_monthly,precipitation_Aug,1470,5.80683296918869,27.678422051668164,88.86085760593414,201.9886846780777,373.2214622497559
precipitation_monthly,precipitation_Sep,1470,8.513274192810059,33.5680468082428,95.82872271537781,223.457982301712,548.3988761901855
soil_water_monthly,soil_water_May,1470,0.18883118,0.281372856,0.36889068,0.4434520965,0.461167
soil_water_monthly,soil_water_Jun,1470,0.15087952,0.231135807,0.343978585,0.42072740999999997,0.4519794
soil_water_monthly,soil_water_Jul,1470,0.14104491,0.185151383,0.29870758,0.387718347,0.44441715
soil_water_monthly,soil_water_Aug,1470,0.14152221,0.1828927315,0.30030884,0.3932886345,0.4394806
soil_water_monthly,soil_water_Sep,1470,0.14601561,0.22545054550000002,0.33231658500000005,0.408631276,0.44471684
solar_radiation_monthly,solar_radiation_May,1470,220010673.5,367417931.85,513116634.5,587584753.9,634706586.0
solar_radiation_monthly,solar_radiation_Jun,1470,350532540.0,469807333.5,548503170.0,612741729.0,670083360.0
solar_radiation_monthly,solar_radiation_Jul,1470,478882234.0,520139940.25,585258393.0,643357656.8,709765770.0
solar_radiation_monthly,solar_radiation_Aug,1470,384514638.0,440877717.35,506558677.5,568474146.7,610899764.0
solar_radiation_monthly,solar_radiation_Sep,1470,268297440.0,318513670.5,369460755.0,418326630.0,452469750.0
potential_evaporation_monthly,potential_evaporation_May,1470,54.47663688659668,106.78926585912704,179.81744122505188,263.27109851837156,374.0410623550415
potential_evaporation_monthly,potential_evaporation_Jun,1470,76.84933662414551,154.63297533988953,210.40276765823364,298.60685777664185,396.0025691986084
potential_evaporation_monthly,potential_evaporation_Jul,1470,156.7571158409119,187.51075465679168,249.93974685668945,351.0533045291901,431.8463878631592
potential_evaporation_monthly,potential_evaporation_Aug,1470,125.90741872787476,158.49445786476136,217.43145561218262,314.8804831504821,408.7549390792847
potential_evaporation_monthly,potential_evaporation_Sep,1470,82.28741884231567,106.62006139755249,146.95990562438965,220.60323286056519,305.77829360961914
