lat,lon,ilat,ilon
43.75,11.75,267,23
43.75,12.25,267,24
44.25,6.75,268,13
44.25,7.25,268,14
44.25,7.75,268,15
44.25,10.75,268,21
44.25,11.25,268,22
44.25,11.75,268,23
44.75,6.75,269,13
44.75,7.25,269,14
44.75,7.75,269,15
44.75,8.25,269,16
44.75,8.75,269,17
44.75,9.25,269,18
44.75,9.75,269,19
44.75,10.25,269,20
44.75,10.75,269,21
44.75,11.25,269,22
44.75,11.75,269,23
45.25,6.75,270,13
45.25,7.25,270,14
45.25,7.75,270,15
45.25,8.25,270,16
45.25,8.75,270,17
45.25,9.25,270,18
45.25,9.75,270,19
45.25,10.25,270,20
45.25,10.75,270,21
45.25,11.25,270,22
45.25,11.75,270,23
45.75,7.75,271,15
45.75,8.25,271,16
45.75,8.75,271,17
45.75,9.25,271,18
45.75,9.75,271,19
45.75,10.25,271,20
45.75,10.75,271,21
45.75,11.25,271,22
45.75,11.75,271,23
46.25,11.75,272,23
46.25,12.25,272,24
46.75,12.25,273,24
